world_rank,university_name,country,teaching,international outlook,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year,tuition_fee,median_salary
1,California Institute of Technology,United States of America,95.6,64,97.6,99.8,97.8,95.2,2243,6.9,0.27,33 : 67,2016,47577,75500
2,University of Oxford,United Kingdom,86.5,94.4,98.9,98.8,73.1,94.2,19919,11.6,0.34,46:54:00,2016,41806.5,47940
3,Stanford University,United States of America,92.5,76.3,96.2,99.9,63.3,93.9,15596,7.8,0.22,42:58:00,2016,47940,70400
4,University of Cambridge,United Kingdom,88.2,91.5,96.7,97,55,92.8,18812,11.8,0.34,46:54:00,2016,45120,49350
5,Massachusetts Institute of Technology,United States of America,89.4,84,88.6,99.7,95.4,92,11074,9,0.33,37 : 63,2016,48452,72200
6,Harvard University,United States of America,83.6,77.2,99,99.8,45.2,91.6,20152,8.9,0.25,,2016,47074,63400
7,Princeton University,United States of America,85.1,78.5,91.9,99.3,52.1,90.1,7929,8.4,0.27,45:55:00,2016,45320,66500
8,Imperial College London,United Kingdom,83.3,96,88.5,96.7,53.7,89.1,15060,11.7,0.51,37 : 63,2016,38070,43710
9,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,77,97.9,95,91.1,80,88.3,18178,14.7,0.37,31 : 69,2016,,
10,University of Chicago,United States of America,85.7,65,88.9,99.2,36.6,87.9,14221,6.9,0.21,42:58:00,2016,52491,53400
11,Johns Hopkins University,United States of America,77.6,70,90.4,98.2,100,87.6,15128,3.6,0.23,50:50:00,2016,50410,
12,Yale University,United States of America,86.5,64.3,87.8,97.2,43.3,87.4,11751,4.4,0.2,50:50:00,2016,49480,59100
13,"University of California, Berkeley",United States of America,80.4,61.9,91.1,99.7,47.9,87.2,36186,16.4,0.15,50:50:00,2016,40191,59900
14,University College London,United Kingdom,78.1,94.4,91,94.2,40.5,87.1,26607,10.7,0.46,56:44:00,2016,30061.2,40890
15,Columbia University,United States of America,85.9,73.5,82.2,98.1,,86.1,25055,5.9,0.28,,2016,55056,59400
16,"University of California, Los Angeles",United States of America,80.8,56.4,88.6,98.5,47.9,85.8,38206,10.3,0.15,52:48:00,2016,39518,52600
17,University of Pennsylvania,United States of America,82,49.5,86.9,98.6,47.9,85.2,20376,6.5,0.2,51:49:00,2016,51464,60900
18,Cornell University,United States of America,77.9,63.9,86.1,97.2,33.7,84,21424,10.2,0.19,48:52:00,2016,50953,60300
19,University of Toronto,Canada,75.9,77.8,89.3,90.9,49.1,83.9,66198,19.5,0.15,,2016,,75000
20,Duke University,United States of America,76,56.5,78,99,100,82.7,15172,4.8,0.17,49:51:00,2016,51265,58900
21,University of Michigan,United States of America,76.8,53.7,85.2,94.4,56.3,82.4,41786,9,0.16,48:52:00,2016,43476,52700
22,Carnegie Mellon University,United States of America,67.4,57.1,88.8,99.1,57.5,82.3,11885,13.1,0.35,39 : 61,2016,52040,61800
23,London School of Economics and Political Science,United Kingdom,69.8,93.6,80.6,94.3,32.2,81.3,,,,,2016,,53580
24,University of Edinburgh,United Kingdom,68.6,89.8,77.2,96.3,36.1,80.3,25774,14.1,0.36,58:42:00,2016,,45120
25,Northwestern University,United States of America,69.8,53.9,78.4,96.5,81.2,79.5,18334,13.8,0.15,48:52:00,2016,50855,52700
27,King College London,United Kingdom,64.5,93.8,75.8,93.8,40.1,78.2,21394,11.4,0.37,61:39:00,2016,30667.5,38070
28,Karolinska Institute,Sweden,60.6,73.1,81.1,92.2,75.8,77.5,7774,11.5,0.22,70:30:00,2016,,
29,LMU Munich,Germany,70.5,62.8,77.4,85.7,100,77.3,35691,15.5,0.13,62:38:00,2016,,
30,New York University,United States of America,74.7,49.3,72.3,95.3,30.4,77.2,42056,6.8,0.19,55:45:00,2016,49062,50300
31,École Polytechnique Fédérale de Lausanne,Switzerland,61.3,98.6,67.5,94.6,65.4,76.1,9666,10.5,0.54,27 : 73,2016,,32430
32,University of Washington,United States of America,67.1,51.2,70,98.6,43.1,75.6,44020,11.8,0.13,53:47:00,2016,34791,48800
34,University of British Columbia,Canada,60.2,90.5,73.2,91.5,42.6,75.3,50152,17.6,0.25,54:46:00,2016,,
35,KU Leuven,Belgium,59.9,68.6,76.9,87.3,100,74.8,42503,41.9,0.18,54:46:00,2016,,
36,University of Illinois at Urbana-Champaign,United States of America,64.5,45.8,81.2,86.8,52.8,74.5,42727,18.7,0.2,47:53:00,2016,31320,52900
37,Heidelberg University,Germany,68.8,62.8,69.6,88.2,68.2,74.4,28881,24.5,0.17,55:45:00,2016,,
38,McGill University,Canada,66.1,85.5,72.1,78.9,40.3,72.6,31326,13.7,0.23,56:44:00,2016,,
39,"University of California, San Diego",United States of America,56.9,42.9,69.8,98.7,56.7,72.2,27233,6.5,0.11,48:52:00,2016,41387,51100
39,"University of California, Santa Barbara",United States of America,52.6,61.5,66,99.2,90.4,72.2,22020,27.3,0.11,52:48:00,2016,40704,50500
41,Georgia Institute of Technology,United States of America,57.8,71.5,72.7,86,73.7,72.1,19967,20.1,0.26,31 : 69,2016,32404,58300
44,"University of California, Davis",United States of America,60.1,58.4,72.7,84.3,57.3,71,35364,13.9,0.13,54:46:00,2016,40728,52300
46,University of Texas at Austin,United States of America,59.3,31.7,69.7,92.2,63.1,70.3,49427,17.4,0.09,51:49:00,2016,34676,49700
47,Wageningen University and Research Center,Netherlands,52.6,70.3,66.9,87.8,100,70,9248,17,0.21,56:44:00,2016,24428.97,
49,Humboldt University of Berlin,Germany,63.7,62.6,77,73.6,36.1,69.9,29987,52.5,0.16,,2016,,
50,University of Wisconsin-Madison,United States of America,65.1,33,68.2,86.6,48.5,69.7,39655,10.8,0.11,51:49:00,2016,32738,48900
51,Brown University,United States of America,62.8,57.8,55.7,96.4,31.4,69.6,8653,10.1,0.19,,2016,51367,56200
53,Technical University of Munich,Germany,61,63.8,66,80.1,99.2,69.4,35565,31.5,0.2,33 : 67,2016,,
54,École Normale Supérieure,France,70.6,85.5,47.7,87.1,37.1,69,2400,7.9,0.2,46:54:00,2016,,
56,University of Manchester,United Kingdom,58.4,87,66,77.3,42,68.1,34938,15.3,0.34,52:48:00,2016,28200,40890
58,University of Amsterdam,Netherlands,52.2,66.5,64.7,87.4,62.8,67.8,24570,14.4,0.11,53:47:00,2016,24428.97,
60,Washington University in St Louis,United States of America,54.3,44.9,55.6,99.2,33.5,67,12528,5.7,0.17,,2016,,
62,Utrecht University,Netherlands,48.1,55.8,64.3,88.1,89.1,66.6,30779,15.4,0.07,59:41:00,2016,24428.97,
63,University of North Carolina at Chapel Hill,United States of America,58,39,54.5,95.9,39.4,66.4,26518,7.3,0.08,58:42:00,2016,33916,42900
64,Boston University,United States of America,57.8,51,49.5,97.7,30.3,66.1,24789,8.6,0.17,58:42:00,2016,50240,49000
65,Delft University of Technology,Netherlands,55,84,73.8,61.5,100,65.9,15920,19.4,0.25,26 : 74,2016,24428.97,
65,University of Minnesota,United States of America,53.5,35.3,61,88,98.5,65.9,46825,18,0.13,52:48:00,2016,22210,46200
67,Leiden University,Netherlands,50.5,64.3,63.1,85.2,49.8,65.7,21222,17.1,0.1,59:41:00,2016,24428.97,
68,University of Southern California,United States of America,49.3,56.3,58.9,93,38,65.5,36534,12.9,0.2,52:48:00,2016,52217,54800
69,University of Bristol,United Kingdom,47.6,82.4,51.6,91.2,40,64.3,17906,14,0.25,53:47:00,2016,26508,42300
70,Durham University,United Kingdom,47.9,86.4,51.9,87.7,34.4,63.6,15489,15.7,0.24,54:46:00,2016,29469,43710
71,Erasmus University Rotterdam,Netherlands,37.2,76.1,55.2,95.6,54.6,63.5,20580,18.9,0.18,48:52:00,2016,24428.97,117030
72,Free University of Berlin,Germany,57.9,69.2,72.2,60.2,35.1,63.2,33062,39.3,0.2,58:42:00,2016,,
74,University of Groningen,Netherlands,43.3,63.9,56.9,84,92.4,62.4,24556,25.6,0.12,52:48:00,2016,24428.97,
75,Pennsylvania State University,United States of America,50.4,40.8,61.9,80.5,56.2,62.3,44501,12.4,0.12,46:54:00,2016,32382,49900
76,University of Glasgow,United Kingdom,41.6,85.8,48.3,92.3,31.6,61.9,22616,16,0.29,57:43:00,2016,,
76,University of Helsinki,Finland,48.4,51.8,60.4,82.1,31.6,61.9,23505,15.1,0.06,66:34:00,2016,,
78,University of Tübingen,Germany,47,58.2,59.8,79.3,59.2,61.7,28327,38.9,0.12,58:42:00,2016,,
79,University of Pittsburgh,United States of America,50.6,33.9,50.3,92.3,39.3,61.5,26485,5.8,0.1,51:49:00,2016,29758,
80,University of Warwick,United Kingdom,47.4,90.3,53.1,78.2,37.7,61.3,18529,16.6,0.37,48:52:00,2016,29892,42300
81,Uppsala University,Sweden,44.1,59.6,61,80.9,39.5,61.2,25266,18.2,0.12,57:43:00,2016,,
82,University of Copenhagen,Denmark,49.8,83.3,42.7,86.2,45,61,27545,4.1,0.19,67:33:00,2016,,12214
84,University of Freiburg,Germany,47.4,60.3,51.1,80.5,100,60.7,26467,31.2,0.16,52:48:00,2016,,
86,University of St Andrews,United Kingdom,49.7,92.3,47.3,78.8,30.6,60.4,8338,12.7,0.47,56:44:00,2016,27684,
87,Vanderbilt University,United States of America,47.8,29.1,44.2,95.7,63.2,60.1,12161,3.6,0.1,52:48:00,2016,45610,51200
88,Maastricht University,Netherlands,37.5,95.5,47.7,82.7,95.4,59.9,15626,18.9,0.48,56:44:00,2016,24428.97,104340
